jj=290, kk=265, dout(266)=-20+j-120, indexsum=14
jj=291, kk=137, dout(138)=27+j-129, indexsum=14
jj=292, kk=393, dout(394)=-156+j13, indexsum=13
jj=293, kk=73, dout(74)=30+j103, indexsum=14
jj=294, kk=329, dout(330)=146+j-46, indexsum=14
jj=295, kk=201, dout(202)=33+j-14, indexsum=14
jj=296, kk=457, dout(458)=53+j38, indexsum=13
jj=297, kk=41, dout(42)=-33+j61, indexsum=14
jj=298, kk=297, dout(298)=-112+j31, indexsum=14
jj=299, kk=169, dout(170)=14+j-67, indexsum=14
jj=300, kk=425, dout(426)=132+j-84, indexsum=13
jj=301, kk=105, dout(106)=-49+j75, indexsum=14
jj=302, kk=361, dout(362)=83+j17, indexsum=13
jj=303, kk=233, dout(234)=38+j-116, indexsum=14
jj=304, kk=489, dout(490)=115+j22, indexsum=14
jj=305, kk=25, dout(26)=-56+j-81, indexsum=14
jj=306, kk=281, dout(282)=0+j62, indexsum=14
jj=307, kk=153, dout(154)=-65+j-18, indexsum=14
jj=308, kk=409, dout(410)=-53+j-204, indexsum=14
jj=309, kk=89, dout(90)=76+j102, indexsum=14
jj=310, kk=345, dout(346)=-4+j-182, indexsum=13
jj=311, kk=217, dout(218)=-6+j-54, indexsum=14
jj=312, kk=473, dout(474)=-34+j-22, indexsum=14
jj=313, kk=57, dout(58)=-89+j-159, indexsum=14
jj=314, kk=313, dout(314)=110+j-147, indexsum=14
jj=315, kk=185, dout(186)=134+j62, indexsum=14
jj=316, kk=441, dout(442)=-2+j-18, indexsum=14
jj=317, kk=121, dout(122)=-34+j74, indexsum=14
jj=318, kk=377, dout(378)=32+j15, indexsum=14
jj=319, kk=249, dout(250)=24+j0, indexsum=13
jj=320, kk=505, dout(506)=-100+j46, indexsum=13
jj=321, kk=5, dout(6)=36+j-24, indexsum=11
jj=322, kk=261, dout(262)=171+j-83, indexsum=14
jj=323, kk=133, dout(134)=-26+j-102, indexsum=14
jj=324, kk=389, dout(390)=-43+j23, indexsum=14
jj=325, kk=69, dout(70)=144+j3, indexsum=14
jj=326, kk=325, dout(326)=70+j80, indexsum=13
jj=327, kk=197, dout(198)=90+j65, indexsum=13
jj=328, kk=453, dout(454)=109+j-24, indexsum=13
jj=329, kk=37, dout(38)=44+j-107, indexsum=14
jj=330, kk=293, dout(294)=-42+j6, indexsum=14
jj=331, kk=165, dout(166)=-1+j65, indexsum=14
jj=332, kk=421, dout(422)=-98+j-38, indexsum=14
jj=333, kk=101, dout(102)=-79+j-41, indexsum=14
jj=334, kk=357, dout(358)=-30+j-7, indexsum=13
jj=335, kk=229, dout(230)=138+j74, indexsum=13
jj=336, kk=485, dout(486)=-112+j-51, indexsum=13
jj=337, kk=21, dout(22)=62+j-103, indexsum=13
jj=338, kk=277, dout(278)=-17+j158, indexsum=14
jj=339, kk=149, dout(150)=67+j101, indexsum=14
jj=340, kk=405, dout(406)=-133+j21, indexsum=13
jj=341, kk=85, dout(86)=44+j-86, indexsum=13
jj=342, kk=341, dout(342)=-118+j-142, indexsum=14
jj=343, kk=213, dout(214)=74+j-64, indexsum=14
jj=344, kk=469, dout(470)=108+j23, indexsum=14
jj=345, kk=53, dout(54)=-69+j9, indexsum=14
jj=346, kk=309, dout(310)=-16+j203, indexsum=14
jj=347, kk=181, dout(182)=-35+j-109, indexsum=14
jj=348, kk=437, dout(438)=137+j107, indexsum=14
jj=349, kk=117, dout(118)=24+j42, indexsum=14
jj=350, kk=373, dout(374)=-32+j-122, indexsum=14
jj=351, kk=245, dout(246)=-7+j-13, indexsum=13
jj=352, kk=501, dout(502)=-20+j37, indexsum=14
jj=353, kk=13, dout(14)=-6+j96, indexsum=13
jj=354, kk=269, dout(270)=-61+j-95, indexsum=14
jj=355, kk=141, dout(142)=-197+j-88, indexsum=14
jj=356, kk=397, dout(398)=85+j14, indexsum=13
jj=357, kk=77, dout(78)=20+j-98, indexsum=14
jj=358, kk=333, dout(334)=-78+j126, indexsum=14
jj=359, kk=205, dout(206)=-57+j-47, indexsum=14
jj=360, kk=461, dout(462)=1+j-54, indexsum=13
jj=361, kk=45, dout(46)=56+j-55, indexsum=14
jj=362, kk=301, dout(302)=-96+j47, indexsum=14
jj=363, kk=173, dout(174)=-32+j-24, indexsum=14
jj=364, kk=429, dout(430)=-85+j-22, indexsum=13
jj=365, kk=109, dout(110)=-153+j-104, indexsum=14
jj=366, kk=365, dout(366)=-124+j39, indexsum=13
jj=367, kk=237, dout(238)=-113+j157, indexsum=14
jj=368, kk=493, dout(494)=-116+j43, indexsum=14
jj=369, kk=29, dout(30)=-16+j16, indexsum=14
jj=370, kk=285, dout(286)=-113+j142, indexsum=14
jj=371, kk=157, dout(158)=162+j110, indexsum=14
jj=372, kk=413, dout(414)=-30+j66, indexsum=14
jj=373, kk=93, dout(94)=-82+j88, indexsum=14
jj=374, kk=349, dout(350)=27+j-9, indexsum=13
jj=375, kk=221, dout(222)=-133+j73, indexsum=14
jj=376, kk=477, dout(478)=-57+j11, indexsum=14
jj=377, kk=61, dout(62)=172+j-12, indexsum=14
jj=378, kk=317, dout(318)=-73+j32, indexsum=14
jj=379, kk=189, dout(190)=36+j-50, indexsum=14
jj=380, kk=445, dout(446)=58+j2, indexsum=14
jj=381, kk=125, dout(126)=47+j18, indexsum=14
jj=382, kk=381, dout(382)=24+j10, indexsum=14
jj=383, kk=253, dout(254)=121+j34, indexsum=13
jj=384, kk=509, dout(510)=3+j43, indexsum=13
jj=385, kk=3, dout(4)=-28+j-75, indexsum=11
jj=386, kk=259, dout(260)=34+j10, indexsum=14
jj=387, kk=131, dout(132)=77+j-23, indexsum=14
jj=388, kk=387, dout(388)=40+j11, indexsum=14
jj=389, kk=67, dout(68)=65+j24, indexsum=14
jj=390, kk=323, dout(324)=38+j-154, indexsum=13
jj=391, kk=195, dout(196)=9+j49, indexsum=13
jj=392, kk=451, dout(452)=3+j-51, indexsum=13
jj=393, kk=35, dout(36)=40+j37, indexsum=14
jj=394, kk=291, dout(292)=-236+j-6, indexsum=14
jj=395, kk=163, dout(164)=24+j-41, indexsum=14
jj=396, kk=419, dout(420)=51+j-87, indexsum=14
jj=397, kk=99, dout(100)=-2+j45, indexsum=14
jj=398, kk=355, dout(356)=-178+j-64, indexsum=13
jj=399, kk=227, dout(228)=-17+j17, indexsum=13
jj=400, kk=483, dout(484)=-19+j-37, indexsum=13
jj=401, kk=19, dout(20)=-20+j67, indexsum=13
jj=402, kk=275, dout(276)=55+j-7, indexsum=14
jj=403, kk=147, dout(148)=-151+j-22, indexsum=14
jj=404, kk=403, dout(404)=182+j170, indexsum=13
jj=405, kk=83, dout(84)=-54+j81, indexsum=13
jj=406, kk=339, dout(340)=-12+j5, indexsum=14
jj=407, kk=211, dout(212)=-59+j-74, indexsum=14
jj=408, kk=467, dout(468)=-1+j165, indexsum=14
jj=409, kk=51, dout(52)=18+j72, indexsum=14
jj=410, kk=307, dout(308)=-35+j-153, indexsum=14
jj=411, kk=179, dout(180)=104+j-79, indexsum=14
jj=412, kk=435, dout(436)=11+j-71, indexsum=14
jj=413, kk=115, dout(116)=-40+j-84, indexsum=14
jj=414, kk=371, dout(372)=20+j68, indexsum=14
jj=415, kk=243, dout(244)=105+j41, indexsum=13
jj=416, kk=499, dout(500)=-23+j-29, indexsum=14
jj=417, kk=11, dout(12)=36+j67, indexsum=13
jj=418, kk=267, dout(268)=-2+j4, indexsum=14
jj=419, kk=139, dout(140)=-46+j-126, indexsum=14
jj=420, kk=395, dout(396)=-100+j-49, indexsum=13
jj=421, kk=75, dout(76)=-65+j-89, indexsum=14
jj=422, kk=331, dout(332)=33+j-20, indexsum=14
jj=423, kk=203, dout(204)=-29+j88, indexsum=14
jj=424, kk=459, dout(460)=44+j88, indexsum=13
jj=425, kk=43, dout(44)=-26+j85, indexsum=14
jj=426, kk=299, dout(300)=36+j68, indexsum=14
jj=427, kk=171, dout(172)=21+j241, indexsum=14
jj=428, kk=427, dout(428)=-8+j240, indexsum=13
jj=429, kk=107, dout(108)=29+j17, indexsum=14
jj=430, kk=363, dout(364)=24+j27, indexsum=13
jj=431, kk=235, dout(236)=118+j-50, indexsum=14
jj=432, kk=491, dout(492)=-113+j84, indexsum=14
jj=433, kk=27, dout(28)=-3+j75, indexsum=14
jj=434, kk=283, dout(284)=-55+j-143, indexsum=14
jj=435, kk=155, dout(156)=-121+j2, indexsum=14
jj=436, kk=411, dout(412)=-28+j-38, indexsum=14
jj=437, kk=91, dout(92)=-39+j143, indexsum=14
