sig_pow(ii)=161.377281, noise_pow(ii)=0.021808
sig_pow(ii)=0.344716, noise_pow(ii)=0.029464
sig_pow(ii)=13.173078, noise_pow(ii)=0.037022
sig_pow(ii)=123.600341, noise_pow(ii)=0.005512
sig_pow(ii)=15.184941, noise_pow(ii)=0.001736
sig_pow(ii)=88.045878, noise_pow(ii)=0.015249
sig_pow(ii)=33.308450, noise_pow(ii)=0.074204
sig_pow(ii)=2.513901, noise_pow(ii)=0.024332
sig_pow(ii)=58.963822, noise_pow(ii)=0.039908
sig_pow(ii)=14.707893, noise_pow(ii)=0.037192
sig_pow(ii)=148.277466, noise_pow(ii)=0.027996
sig_pow(ii)=70.870169, noise_pow(ii)=0.031708
sig_pow(ii)=24.712599, noise_pow(ii)=0.010579
sig_pow(ii)=132.495042, noise_pow(ii)=0.021399
sig_pow(ii)=237.074569, noise_pow(ii)=0.036210
sig_pow(ii)=256.293514, noise_pow(ii)=0.008326
sig_pow(ii)=2.106564, noise_pow(ii)=0.030309
sig_pow(ii)=15.866130, noise_pow(ii)=0.030897
sig_pow(ii)=351.476175, noise_pow(ii)=0.002129
sig_pow(ii)=39.211680, noise_pow(ii)=0.033483
sig_pow(ii)=293.894873, noise_pow(ii)=0.036970
sig_pow(ii)=55.488408, noise_pow(ii)=0.002551
sig_pow(ii)=3.116850, noise_pow(ii)=0.018486
sig_pow(ii)=48.681865, noise_pow(ii)=0.020927
sig_pow(ii)=196.053771, noise_pow(ii)=0.012213
sig_pow(ii)=55.996576, noise_pow(ii)=0.017778
sig_pow(ii)=19.491982, noise_pow(ii)=0.077105
sig_pow(ii)=7.768798, noise_pow(ii)=0.001954
sig_pow(ii)=19.136959, noise_pow(ii)=0.028114
sig_pow(ii)=14.371830, noise_pow(ii)=8.000000
sig_pow(ii)=216.712607, noise_pow(ii)=0.019598
sig_pow(ii)=98.640957, noise_pow(ii)=0.047564
sig_pow(ii)=44.419228, noise_pow(ii)=0.036411
sig_pow(ii)=12.673848, noise_pow(ii)=0.048906
sig_pow(ii)=27.810814, noise_pow(ii)=0.033441
sig_pow(ii)=88.049185, noise_pow(ii)=0.092795
sig_pow(ii)=69.098792, noise_pow(ii)=0.032258
sig_pow(ii)=74.792681, noise_pow(ii)=0.005454
sig_pow(ii)=10.804571, noise_pow(ii)=0.004850
sig_pow(ii)=355.876362, noise_pow(ii)=0.028185
sig_pow(ii)=64.863051, noise_pow(ii)=0.065409
sig_pow(ii)=21.657446, noise_pow(ii)=0.020918
sig_pow(ii)=144.903860, noise_pow(ii)=0.005424
sig_pow(ii)=263.624092, noise_pow(ii)=0.091124
sig_pow(ii)=41.862066, noise_pow(ii)=0.001649
sig_pow(ii)=50.870468, noise_pow(ii)=0.041651
sig_pow(ii)=48.508955, noise_pow(ii)=0.000169
